Success (183):
datatype {urn:com:appian:types}WD_widget 5094
datatype {urn:com:appian:types}WD_bookmark 5096
datatype {urn:com:appian:types}WD_toDoItem 5098
dataStore _a-0000de29-c706-8000-3457-01ef9001ef90_4605 115399 "WD Data Store"
group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 "WD Admins"
group _e-0000de3b-6558-8000-341f-011e94011e94_21 631 "WD All Users"
group _e-0000deef-1613-8000-9aee-01075c01075c_683 632 "WD International Travelers Viewers"
group _e-0000deef-1613-8000-9aee-01075c01075c_684 633 "WD HR Onboarding Viewers"
group _e-0000def2-cb5a-8000-9aee-01075c01075c_685 634 "WD COPH Change Faculty Viewers"
group _e-0000def2-cb5a-8000-9aee-01075c01075c_686 635 "WD COPH Edit Community Members Viewers"
group _e-0000def2-cb5a-8000-9aee-01075c01075c_687 636 "WD COPH Course Substitution Approval Viewers"
group _e-0000def2-cb5a-8000-9aee-01075c01075c_688 637 "WD COPH Completed Course Requests Report Viewers"
group _e-0000def2-cb5a-8000-9aee-01075c01075c_689 638 "WD COPH Completed Appointment Requests Report Viewers"
group _e-0000def2-cb5a-8000-9aee-01075c01075c_690 639 "WD COPH In Progress Report Viewers"
group _e-0000def2-cb5a-8000-9aee-01075c01075c_691 640 "WD COPH Student Information Report Viewers"
group _e-0000def2-cb5a-8000-9aee-01075c01075c_692 641 "WD MCOM Create New Course Viewers"
group _e-0000def2-cb5a-8000-9aee-01075c01075c_693 642 "WD MCOM Advisor Meeting Report Viewers"
group _e-0000def2-cb5a-8000-9aee-01075c01075c_694 643 "WD MCOM Student Meeting Report Viewers"
group _e-0000def2-cb5a-8000-9aee-01075c01075c_695 644 "WD MCOM Tutoring Sessions Report Viewers"
group _e-0000def2-cb5a-8000-9aee-01075c01075c_696 645 "WD MCOM Appointment Request Task Report Viewers"
content _a-0000de29-c706-8000-3457-01ef9001ef90_4607 115242 "WD Rules and Constants"
content _a-0000de29-c706-8000-3457-01ef9001ef90_4608 115243 "WD Rules"
content _a-0000de29-c706-8000-3457-01ef9001ef90_4609 115244 "WD Expression Rules"
content _a-0000de29-c706-8000-3457-01ef9001ef90_4610 115245 "WD Query Rules"
content _a-0000de29-c706-8000-3457-01ef9001ef90_4611 115246 "WD Constants"
content _a-0000de29-c706-8000-3457-01ef9001ef90_4612 115247 "WD Interfaces"
content _a-0000de2b-96d5-8000-3457-01ef9001ef90_4789 115402 "WD_WIDGET_DATA_STORE_ENTITY"
content _a-0000de8c-7f85-8000-7f69-01ef9001ef90_4825 115403 "WD_WIDGET_TYPE_TAB"
content _a-0000de8c-7f85-8000-7f69-01ef9001ef90_4805 115404 "WD_isBlank"
content _a-0000de2b-27a4-8000-3457-01ef9001ef90_4755 115251 "WD_getAllWidgetsByType"
content _a-0000de8c-7f85-8000-7f69-01ef9001ef90_4867 115406 "WD_returnUsersAvailableWidgetsByType"
content _a-0000de2c-6e59-8000-3457-01ef9001ef90_4947 115407 "WD_ALL_LINK_TYPES"
content _a-0000de8c-7f85-8000-7f69-01ef9001ef90_4827 115408 "WD_WIDGET_TYPE_WIDGET"
content _a-0000df03-fe19-8000-9ba2-011c48011c48_235517 115409 "WD_IMG_BILLBOARD_BACKGROUND"
content _a-0000de8c-7f85-8000-7f69-01ef9001ef90_4819 115410 "WD_homePageNavigation"
content _a-0000defe-bf54-8000-9ba2-011c48011c48_243209 115411 "WD_RT_INTAKE_FORMS"
content _a-0000defe-bf54-8000-9ba2-011c48011c48_243207 115412 "WD_RT_GROUPS"
content _a-0000defe-bf54-8000-9ba2-011c48011c48_243217 115413 "WD_RT_MCOM_COURSES"
content _a-0000defe-bf54-8000-9ba2-011c48011c48_243216 115414 "WD_RT_SUPPORT_TICKETS"
content _a-0000defe-bf54-8000-9ba2-011c48011c48_243215 115415 "WD_RT_ACTIVITY"
content _a-0000defe-bf54-8000-9ba2-011c48011c48_243214 115416 "WD_RT_USERS"
